bioguide_id,full_name,communication_count,attack_personal,outcome_bipartisanship,policy,attack_personal_pct,outcome_bipartisanship_pct,policy_pct
A000055,Robert Aderholt,159,2.0,9.0,96.0,1.257861635220126,5.660377358490567,60.37735849056604
A000148,Jake Auchincloss,776,61.0,90.0,562.0,7.860824742268041,11.597938144329897,72.42268041237114
A000369,Mark Amodei,213,1.0,20.0,164.0,0.4694835680751174,9.389671361502346,76.99530516431925
A000370,Alma Adams,175,2.0,6.0,103.0,1.1428571428571428,3.428571428571429,58.857142857142854
A000371,Pete Aguilar,70,2.0,1.0,46.0,2.857142857142857,1.4285714285714286,65.71428571428571
A000372,Rick Allen,480,1.0,25.0,310.0,0.20833333333333334,5.208333333333334,64.58333333333334
A000375,Jodey Arrington,631,11.0,27.0,423.0,1.7432646592709984,4.27892234548336,67.0364500792393
A000379,Mark Alford,823,7.0,52.0,337.0,0.850546780072904,6.318347509113001,40.94775212636695
A000380,Gabe Amo,454,33.0,27.0,321.0,7.268722466960352,5.947136563876652,70.70484581497797
A000381,Yassamin Ansari,185,7.0,3.0,104.0,3.783783783783784,1.6216216216216217,56.21621621621622
A000382,Angela Alsobrooks,241,10.0,18.0,112.0,4.149377593360995,7.468879668049793,46.47302904564315
B000490,Sanford Bishop,150,0.0,10.0,58.0,0.0,6.666666666666667,38.666666666666664
B000668,Cliff Bentz,173,1.0,5.0,114.0,0.5780346820809248,2.8901734104046244,65.89595375722543
B000740,Stephanie Bice,475,2.0,37.0,317.0,0.42105263157894735,7.7894736842105265,66.73684210526316
B000825,Lauren Boebert,326,7.0,15.0,205.0,2.147239263803681,4.601226993865031,62.88343558282209
B001230,Tammy Baldwin,758,33.0,61.0,569.0,4.353562005277045,8.047493403693931,75.06596306068602
B001236,John Boozman,431,1.0,71.0,318.0,0.23201856148491878,16.473317865429234,73.78190255220419
B001243,Marsha Blackburn,1209,39.0,35.0,749.0,3.225806451612903,2.8949545078577335,61.952026468155495
B001257,Gus Bilirakis,602,3.0,39.0,409.0,0.4983388704318937,6.4784053156146175,67.94019933554817
B001260,Vern Buchanan,313,4.0,40.0,237.0,1.2779552715654952,12.779552715654951,75.71884984025559
B001261,John Barrasso,2262,36.0,116.0,1229.0,1.5915119363395225,5.128205128205128,54.33244916003537
B001267,Michael Bennet,971,55.0,82.0,620.0,5.664263645726056,8.444902162718847,63.85169927909372
B001277,Richard Blumenthal,1484,231.0,111.0,906.0,15.566037735849056,7.479784366576819,61.05121293800539
B001278,Suzanne Bonamici,258,12.0,10.0,176.0,4.651162790697675,3.875968992248062,68.21705426356588
B001281,Joyce Beatty,240,9.0,7.0,123.0,3.75,2.9166666666666665,51.24999999999999
B001282,Garland Barr,191,2.0,9.0,112.0,1.0471204188481675,4.712041884816754,58.63874345549738
B001285,Julia Brownley,142,10.0,10.0,104.0,7.042253521126761,7.042253521126761,73.23943661971832
B001287,Ami Bera,262,2.0,27.0,147.0,0.7633587786259541,10.305343511450381,56.10687022900763
B001288,Cory Booker,1366,32.0,121.0,672.0,2.342606149341142,8.857979502196194,49.194729136163986
B001291,Brian Babin,728,34.0,32.0,450.0,4.670329670329671,4.395604395604396,61.81318681318682
B001292,Donald Beyer,662,98.0,25.0,416.0,14.803625377643503,3.7764350453172204,62.839879154078545
B001295,Mike Bost,524,2.0,20.0,330.0,0.38167938931297707,3.816793893129771,62.97709923664122
B001296,Brendan Boyle,335,33.0,15.0,189.0,9.850746268656717,4.477611940298507,56.4179104477612
B001298,Don Bacon,2148,212.0,50.0,639.0,9.869646182495345,2.3277467411545625,29.748603351955303
B001299,Jim Banks,667,14.0,17.0,385.0,2.0989505247376314,2.548725637181409,57.721139430284865
B001300,Nanette Barragán,318,23.0,11.0,224.0,7.232704402515723,3.459119496855346,70.44025157232704
B001301,Jack Bergman,701,8.0,90.0,501.0,1.1412268188302426,12.838801711840228,71.46932952924394
B001302,Andy Biggs,990,58.0,26.0,582.0,5.858585858585859,2.6262626262626263,58.78787878787879
B001303,Lisa Blunt Rochester,326,16.0,26.0,184.0,4.9079754601226995,7.975460122699387,56.44171779141104
B001305,Ted Budd,283,1.0,37.0,165.0,0.35335689045936397,13.074204946996467,58.303886925795055
B001306,Troy Balderson,147,0.0,7.0,89.0,0.0,4.761904761904762,60.544217687074834
B001307,James Baird,190,0.0,17.0,132.0,0.0,8.947368421052632,69.47368421052632
B001309,Tim Burchett,472,18.0,7.0,120.0,3.8135593220338984,1.4830508474576272,25.423728813559322
B001313,Shontel Brown,428,40.0,24.0,276.0,9.345794392523365,5.607476635514018,64.48598130841121
B001314,Aaron Bean,482,5.0,21.0,284.0,1.0373443983402488,4.356846473029045,58.921161825726145
B001315,Nicole (Nikki) Budzinski,474,6.0,56.0,364.0,1.2658227848101267,11.814345991561181,76.79324894514767
B001316,Eric Burlison,747,34.0,7.0,415.0,4.551539491298527,0.9370816599732262,55.55555555555556
B001317,Josh Brecheen,367,6.0,2.0,211.0,1.6348773841961852,0.544959128065395,57.49318801089919
B001318,Becca Balint,562,65.0,15.0,249.0,11.565836298932384,2.6690391459074734,44.30604982206406
B001319,Katie Britt,1309,6.0,195.0,757.0,0.4583651642475172,14.896867838044308,57.83040488922842
B001321,Tom Barrett,26,0.0,2.0,8.0,0.0,7.6923076923076925,30.76923076923077
B001322,Michael Baumgartner,380,0.0,27.0,183.0,0.0,7.105263157894736,48.1578947368421
B001323,Nicholas Begich,65,0.0,3.0,55.0,0.0,4.615384615384616,84.61538461538461
B001324,Wesley Bell,47,0.0,1.0,10.0,0.0,2.127659574468085,21.27659574468085
B001325,Sheri Biggs,22,0.0,0.0,15.0,0.0,0.0,68.18181818181817
B001326,Janelle Bynum,74,1.0,4.0,43.0,1.3513513513513513,5.405405405405405,58.108108108108105
B001327,Robert Bresnahan,248,0.0,12.0,91.0,0.0,4.838709677419355,36.693548387096776
