Name,Chamber,bioguide_id,State,District,Party
Barry Moore,House,M001212,Alabama,1,Republican
Shomari Figures,House,F000481,Alabama,2,Democratic
Mike D. Rogers,House,R000575,Alabama,3,Republican
Robert B. Aderholt,House,A000055,Alabama,4,Republican
Dale W. Strong,House,S001220,Alabama,5,Republican
Gary J. Palmer,House,P000609,Alabama,6,Republican
Terri A. Sewell,House,S001185,Alabama,7,Democratic
Katie Boyd Britt,Senate,B001319,Alabama,,Republican
Tommy Tuberville,Senate,T000278,Alabama,,Republican
Nicholas Begich,House,B001323,Alaska,At Large,Republican
Lisa Murkowski,Senate,M001153,Alaska,,Republican
Dan Sullivan,Senate,S001198,Alaska,,Republican
David Schweikert,House,S001183,Arizona,1,Republican
Elijah Crane,House,C001132,Arizona,2,Republican
Yassamin Ansari,House,A000381,Arizona,3,Democratic
Greg Stanton,House,S001211,Arizona,4,Democratic
Andy Biggs,House,B001302,Arizona,5,Republican
Juan Ciscomani,House,C001133,Arizona,6,Republican
Raúl M. Grijalva,House,G000551,Arizona,7,Democratic
Abraham Hamadeh,House,H001098,Arizona,8,Republican
Paul A. Gosar,House,G000565,Arizona,9,Republican
Ruben Gallego,Senate,G000574,Arizona,,Democratic
Mark Kelly,Senate,K000377,Arizona,,Democratic
"Eric A. ""Rick"" Crawford",House,C001087,Arkansas,1,Republican
J. French Hill,House,H001072,Arkansas,2,Republican
Steve Womack,House,W000809,Arkansas,3,Republican
Bruce Westerman,House,W000821,Arkansas,4,Republican
John Boozman,Senate,B001236,Arkansas,,Republican
Tom Cotton,Senate,C001095,Arkansas,,Republican
Doug LaMalfa,House,L000578,California,1,Republican
Jared Huffman,House,H001068,California,2,Democratic
Kevin Kiley,House,K000401,California,3,Republican
Mike Thompson,House,T000460,California,4,Democratic
Tom McClintock,House,M001177,California,5,Republican
Ami Bera,House,B001287,California,6,Democratic
Doris O. Matsui,House,M001163,California,7,Democratic
John Garamendi,House,G000559,California,8,Democratic
Josh Harder,House,H001090,California,9,Democratic
Mark DeSaulnier,House,D000623,California,10,Democratic
Nancy Pelosi,House,P000197,California,11,Democratic
Lateefah Simon,House,S001231,California,12,Democratic
Adam Gray,House,G000605,California,13,Democratic
Eric Swalwell,House,S001193,California,14,Democratic
Kevin Mullin,House,M001225,California,15,Democratic
Sam Liccardo,House,L000607,California,16,Democratic
Ro Khanna,House,K000389,California,17,Democratic
Zoe Lofgren,House,L000397,California,18,Democratic
Jimmy Panetta,House,P000613,California,19,Democratic
Vince Fong,House,F000480,California,20,Republican
Jim Costa,House,C001059,California,21,Democratic
David G. Valadao,House,V000129,California,22,Republican
Jay Obernolte,House,O000019,California,23,Republican
Salud O. Carbajal,House,C001112,California,24,Democratic
Raul Ruiz,House,R000599,California,25,Democratic
Julia Brownley,House,B001285,California,26,Democratic
George Whitesides,House,W000830,California,27,Democratic
Judy Chu,House,C001080,California,28,Democratic
Luz Rivas,House,R000620,California,29,Democratic
Laura Friedman,House,F000483,California,30,Democratic
Gilbert Ray Cisneros,House,C001123,California,31,Democratic
Brad Sherman,House,S000344,California,32,Democratic
Pete Aguilar,House,A000371,California,33,Democratic
Jimmy Gomez,House,G000585,California,34,Democratic
Norma J. Torres,House,T000474,California,35,Democratic
Ted Lieu,House,L000582,California,36,Democratic
Sydney Kamlager-Dove,House,K000400,California,37,Democratic
Linda T. Sánchez,House,S001156,California,38,Democratic
Mark Takano,House,T000472,California,39,Democratic
Young Kim,House,K000397,California,40,Republican
Ken Calvert,House,C000059,California,41,Republican
Robert Garcia,House,G000598,California,42,Democratic
Maxine Waters,House,W000187,California,43,Democratic
Nanette Diaz Barragán,House,B001300,California,44,Democratic
Derek Tran,House,T000491,California,45,Democratic
J. Luis Correa,House,C001110,California,46,Democratic
Dave Min,House,M001241,California,47,Democratic
Darrell Issa,House,I000056,California,48,Republican
Mike Levin,House,L000593,California,49,Democratic
Scott H. Peters,House,P000608,California,50,Democratic
Sara Jacobs,House,J000305,California,51,Democratic
Juan Vargas,House,V000130,California,52,Democratic
Alex Padilla,Senate,P000145,California,,Democratic
Adam B. Schiff,Senate,S001150,California,,Democratic
Diana DeGette,House,D000197,Colorado,1,Democratic
Joe Neguse,House,N000191,Colorado,2,Democratic
Jeff Hurd,House,H001100,Colorado,3,Republican
Lauren Boebert,House,B000825,Colorado,4,Republican
Jeff Crank,House,C001137,Colorado,5,Republican
Jason Crow,House,C001121,Colorado,6,Democratic
Brittany Pettersen,House,P000620,Colorado,7,Democratic
Gabe Evans,House,E000300,Colorado,8,Republican
Michael F. Bennet,Senate,B001267,Colorado,,Democratic
John W. Hickenlooper,Senate,H000273,Colorado,,Democratic
John B. Larson,House,L000557,Connecticut,1,Democratic
Joe Courtney,House,C001069,Connecticut,2,Democratic
Rosa L. DeLauro,House,D000216,Connecticut,3,Democratic
James A. Himes,House,H001047,Connecticut,4,Democratic
Jahana Hayes,House,H001081,Connecticut,5,Democratic
Richard Blumenthal,Senate,B001277,Connecticut,,Democratic
Christopher Murphy,Senate,M001169,Connecticut,,Democratic
Sarah McBride,House,M001238,Delaware,At Large,Democratic
Lisa Blunt Rochester,Senate,B001303,Delaware,,Democratic
Christopher A. Coons,Senate,C001088,Delaware,,Democratic
Eleanor Holmes Norton,House,N000147,District of Columbia,At Large,Democratic
Neal P. Dunn,House,D000628,Florida,2,Republican
Kat Cammack,House,C001039,Florida,3,Republican
Aaron Bean,House,B001314,Florida,4,Republican
John H. Rutherford,House,R000609,Florida,5,Republican
Randy Fine,House,F000484,Florida,6,Republican
Cory Mills,House,M001216,Florida,7,Republican
Mike Haridopolos,House,H001099,Florida,8,Republican
Darren Soto,House,S001200,Florida,9,Democratic
Maxwell Frost,House,F000476,Florida,10,Democratic
Daniel Webster,House,W000806,Florida,11,Republican
Gus M. Bilirakis,House,B001257,Florida,12,Republican
Anna Paulina Luna,House,L000596,Florida,13,Republican
Kathy Castor,House,C001066,Florida,14,Democratic
Laurel M. Lee,House,L000597,Florida,15,Republican
Vern Buchanan,House,B001260,Florida,16,Republican
W. Gregory Steube,House,S001214,Florida,17,Republican
Scott Franklin,House,F000472,Florida,18,Republican
Byron Donalds,House,D000032,Florida,19,Republican
Sheila Cherfilus-McCormick,House,C001127,Florida,20,Democratic
Brian J. Mast,House,M001199,Florida,21,Republican
Lois Frankel,House,F000462,Florida,22,Democratic
Jared Moskowitz,House,M001217,Florida,23,Democratic
Frederica S. Wilson,House,W000808,Florida,24,Democratic
Debbie Wasserman Schultz,House,W000797,Florida,25,Democratic
Mario Diaz-Balart,House,D000600,Florida,26,Republican
Maria Elvira Salazar,House,S000168,Florida,27,Republican
Carlos A. Gimenez,House,G000593,Florida,28,Republican
Ashley Moody,Senate,M001244,Florida,,Republican
Rick Scott,Senate,S001217,Florida,,Republican
"Earl L. ""Buddy"" Carter",House,C001103,Georgia,1,Republican
Sanford D. Bishop,House,B000490,Georgia,2,Democratic
Brian Jack,House,J000311,Georgia,3,Republican
"Henry C. ""Hank"" Johnson",House,J000288,Georgia,4,Democratic
Nikema Williams,House,W000788,Georgia,5,Democratic
Lucy McBath,House,M001208,Georgia,6,Democratic
Richard McCormick,House,M001218,Georgia,7,Republican
Austin Scott,House,S001189,Georgia,8,Republican
Andrew S. Clyde,House,C001116,Georgia,9,Republican
Mike Collins,House,C001129,Georgia,10,Republican
Barry Loudermilk,House,L000583,Georgia,11,Republican
Rick W. Allen,House,A000372,Georgia,12,Republican
David Scott,House,S001157,Georgia,13,Democratic
Marjorie Taylor Greene,House,G000596,Georgia,14,Republican
Jon Ossoff,Senate,O000174,Georgia,,Democratic
Raphael G. Warnock,Senate,W000790,Georgia,,Democratic
Ed Case,House,C001055,Hawaii,1,Democratic
Jill N. Tokuda,House,T000487,Hawaii,2,Democratic
Mazie K. Hirono,Senate,H001042,Hawaii,,Democratic
Brian Schatz,Senate,S001194,Hawaii,,Democratic
Russ Fulcher,House,F000469,Idaho,1,Republican
Michael K. Simpson,House,S001148,Idaho,2,Republican
Mike Crapo,Senate,C000880,Idaho,,Republican
James E. Risch,Senate,R000584,Idaho,,Republican
Jonathan L. Jackson,House,J000309,Illinois,1,Democratic
Robin L. Kelly,House,K000385,Illinois,2,Democratic
Delia C. Ramirez,House,R000617,Illinois,3,Democratic
"Jesús G. ""Chuy"" García",House,G000586,Illinois,4,Democratic
Mike Quigley,House,Q000023,Illinois,5,Democratic
Sean Casten,House,C001117,Illinois,6,Democratic
Danny K. Davis,House,D000096,Illinois,7,Democratic
Raja Krishnamoorthi,House,K000391,Illinois,8,Democratic
Janice D. Schakowsky,House,S001145,Illinois,9,Democratic
Bradley Scott Schneider,House,S001190,Illinois,10,Democratic
Bill Foster,House,F000454,Illinois,11,Democratic
Mike Bost,House,B001295,Illinois,12,Republican
Nikki Budzinski,House,B001315,Illinois,13,Democratic
Lauren Underwood,House,U000040,Illinois,14,Democratic
Mary E. Miller,House,M001211,Illinois,15,Republican
Darin LaHood,House,L000585,Illinois,16,Republican
Eric Sorensen,House,S001225,Illinois,17,Democratic
Tammy Duckworth,Senate,D000622,Illinois,,Democratic
Richard J. Durbin,Senate,D000563,Illinois,,Democratic
Frank J. Mrvan,House,M001214,Indiana,1,Democratic
Rudy Yakym,House,Y000067,Indiana,2,Republican
Marlin A. Stutzman,House,S001188,Indiana,3,Republican
James R. Baird,House,B001307,Indiana,4,Republican
Victoria Spartz,House,S000929,Indiana,5,Republican
Jefferson Shreve,House,S001229,Indiana,6,Republican
André Carson,House,C001072,Indiana,7,Democratic
Mark Messmer,House,M001233,Indiana,8,Republican
Erin Houchin,House,H001093,Indiana,9,Republican
Jim Banks,Senate,B001299,Indiana,,Republican
Todd Young,Senate,Y000064,Indiana,,Republican
Mariannette Miller-Meeks,House,M001215,Iowa,1,Republican
Ashley Hinson,House,H001091,Iowa,2,Republican
Zachary Nunn,House,N000193,Iowa,3,Republican
Randy Feenstra,House,F000446,Iowa,4,Republican
Joni Ernst,Senate,E000295,Iowa,,Republican
Chuck Grassley,Senate,G000386,Iowa,,Republican
Tracey Mann,House,M000871,Kansas,1,Republican
Derek Schmidt,House,S001228,Kansas,2,Republican
Sharice Davids,House,D000629,Kansas,3,Democratic
Ron Estes,House,E000298,Kansas,4,Republican
Roger Marshall,Senate,M001198,Kansas,,Republican
Jerry Moran,Senate,M000934,Kansas,,Republican
James Comer,House,C001108,Kentucky,1,Republican
Brett Guthrie,House,G000558,Kentucky,2,Republican
Morgan McGarvey,House,M001220,Kentucky,3,Democratic
