Downloaded on,3/27/25,,10:48:11 EDT,,,
Name,URL,,State,District,Party,Terms
"Adams, Alma S. - Representative",https://www.congress.gov/member/alma-adams/A000370,A000370,North Carolina,12,Democratic,House: 2014-Present
"Aderholt, Robert B. - Representative",https://www.congress.gov/member/robert-aderholt/A000055,A000055,Alabama,4,Republican,House: 1997-Present
"Aguilar, Pete - Representative",https://www.congress.gov/member/pete-aguilar/A000371,A000371,California,33,Democratic,House: 2015-Present
"Alford, Mark - Representative",https://www.congress.gov/member/mark-alford/A000379,A000379,Missouri,4,Republican,House: 2023-Present
"Allen, Rick W. - Representative",https://www.congress.gov/member/rick-allen/A000372,A000372,Georgia,12,Republican,House: 2015-Present
"Amo, Gabe - Representative",https://www.congress.gov/member/gabe-amo/A000380,A000380,Rhode Island,1,Democratic,House: 2023-Present
"Amodei, Mark E. - Representative",https://www.congress.gov/member/mark-amodei/A000369,A000369,Nevada,2,Republican,House: 2011-Present
"Ansari, Yassamin - Representative",https://www.congress.gov/member/yassamin-ansari/A000381,A000381,Arizona,3,Democratic,House: 2025-Present
"Arrington, Jodey C. - Representative",https://www.congress.gov/member/jodey-arrington/A000375,A000375,Texas,19,Republican,House: 2017-Present
"Auchincloss, Jake - Representative",https://www.congress.gov/member/jake-auchincloss/A000148,A000148,Massachusetts,4,Democratic,House: 2021-Present
"Babin, Brian - Representative",https://www.congress.gov/member/brian-babin/B001291,B001291,Texas,36,Republican,House: 2015-Present
"Bacon, Don - Representative",https://www.congress.gov/member/don-bacon/B001298,B001298,Nebraska,2,Republican,House: 2017-Present
"Baird, James R. - Representative",https://www.congress.gov/member/james-baird/B001307,B001307,Indiana,4,Republican,House: 2019-Present
"Balderson, Troy - Representative",https://www.congress.gov/member/troy-balderson/B001306,B001306,Ohio,12,Republican,House: 2018-Present
"Balint, Becca - Representative",https://www.congress.gov/member/becca-balint/B001318,B001318,Vermont,At Large,Democratic,House: 2023-Present
"Barr, Andy - Representative",https://www.congress.gov/member/andy-barr/B001282,B001282,Kentucky,6,Republican,House: 2013-Present
"Barragán, Nanette Diaz - Representative",https://www.congress.gov/member/nanette-barragan/B001300,B001300,California,44,Democratic,House: 2017-Present
"Barrett, Tom - Representative",https://www.congress.gov/member/tom-barrett/B001321,B001321,Michigan,7,Republican,House: 2025-Present
"Baumgartner, Michael - Representative",https://www.congress.gov/member/michael-baumgartner/B001322,B001322,Washington,5,Republican,House: 2025-Present
"Bean, Aaron - Representative",https://www.congress.gov/member/aaron-bean/B001314,B001314,Florida,4,Republican,House: 2023-Present
"Beatty, Joyce - Representative",https://www.congress.gov/member/joyce-beatty/B001281,B001281,Ohio,3,Democratic,House: 2013-Present
