name,bioguide_id,num_cross_party_cosponsored_bills
Brian K. Fitzpatrick,F000466,247
Donald G. Davis,D000230,147
Jimmy Panetta,P000613,121
Michael Lawler,L000599,84
Amy Klobuchar,K000367,81
Thomas R. Suozzi,S001201,80
Josh Gottheimer,G000583,75
Don Bacon,B001298,75
Christopher A. Coons,C001088,68
Jeanne Shaheen,S001181,67
Gary Peters,P000595,65
Richard Blumenthal,B001277,64
Jim Costa,C001059,59
Bradley Scott Schneider,S001190,58
Susie Lee,L000590,56
Angie Craig,C001119,55
Catherine Cortez Masto,C001113,55
Josh Harder,H001090,53
Terri A. Sewell,S001185,51
Alex Padilla,P000145,51
Brittany Pettersen,P000620,50
Joe Neguse,N000191,50
Eleanor Holmes Norton,N000147,49
Suzan K. DelBene,D000617,49
Mark Kelly,K000377,49
Cory Booker,B001288,49
Dina Titus,T000468,49
Raphael Warnock,W000790,48
Mark R. Warner,W000805,48
Chris Pappas,P000614,48
Susan M. Collins,C001035,48
Darren Soto,S001200,48
John W. Hickenlooper,H000273,48
Michael Bennet,B001267,47
Debbie Dingell,D000624,46
Christopher R. Deluzio,D000530,45
Nikki Budzinski,B001315,45
Salud O. Carbajal,C001112,45
Zachary Nunn,N000193,44
Eric Sorensen,S001225,44
Jeff Merkley,M001176,44
John K. Fetterman,F000479,44
Ben R. Lujan,L000570,44
Julia Brownley,B001285,43
Paul Tonko,T000469,43
Joseph D. Morelle,M001206,42
Marie Gluesenkamp Perez,G000600,42
Sharice Davids,D000629,42
Chrissy Houlahan,H001085,42
Raja Krishnamoorthi,K000391,41
Jared Moskowitz,M001217,41
Sanford D. Bishop,B000490,40
Shelley Moore Capito,C001047,39
Chris Van Hollen,V000128,39
Deborah K. Ross,R000305,39
Hillary J. Scholten,S001221,39
Bernard Sanders,S000033,39
Peter Welch,W000800,39
Tina Smith,S001203,39
Shri Thanedar,T000488,38
Seth Moulton,M001196,38
Jill N. Tokuda,T000487,37
Jared F. Golden,G000592,37
Steve Cohen,C001068,37
Ruben Gallego,G000574,37
Kim Schrier,S001216,36
Tammy Baldwin,B001230,36
Greg Landsman,L000601,36
Marc A. Veasey,V000131,36
Richard J. Durbin,D000563,35
Josh Riley,R000622,35
Troy A. Carter,C001125,34
Sheldon Whitehouse,W000802,34
Frank J. Mrvan,M001214,34
Mike Rounds,R000605,34
John Cornyn,C001056,34
Bill Cassidy,C001075,33
Tammy Duckworth,D000622,33
Ritchie Torres,T000486,33
Henry Cuellar,C001063,32
Marsha Blackburn,B001243,32
Maria Cantwell,C000127,32
Mazie K. Hirono,H001042,32
Jacky Rosen,R000608,32
Ted Lieu,L000582,32
Kevin Cramer,C001096,31
Young Kim,K000397,31
Lisa Murkowski,M001153,31
Laura Gillen,G000602,31
Danny K. Davis,D000096,31
Debbie Wasserman Schultz,W000797,31
Patrick Ryan,R000579,31
