primary_name,primary_bioguide_id,num_bills_with_cross_party_cosponsors,rank
Amy Klobuchar,K000367,28,1
Marsha Blackburn,B001243,26,2
Brian K. Fitzpatrick,F000466,25,3
John Cornyn,C001056,23,4
Bill Cassidy,C001075,23,5
Gary Peters,P000595,22,6
Chuck Grassley,G000386,21,7
Catherine Cortez Masto,C001113,20,8
Nicole Malliotakis,M000317,20,9
Vern Buchanan,B001260,20,10
Mike Rounds,R000605,17,11
Lisa Murkowski,M001153,16,12
Darin LaHood,L000585,16,13
Michael Lawler,L000599,16,14
Claudia Tenney,T000478,16,15
Richard J. Durbin,D000563,16,16
Christopher A. Coons,C001088,15,17
Gerald E. Connolly,C001078,15,18
Nicholas A. Langworthy,L000600,15,19
Alex Padilla,P000145,14,20
Jerry Moran,M000934,14,21
James Lankford,L000575,14,22
Randy Feenstra,F000446,14,23
Ted Cruz,C001098,13,24
Dan Sullivan,S001198,13,25
Donald G. Davis,D000230,13,26
Zachary Nunn,N000193,13,27
Rick Scott,S001217,13,28
Young Kim,K000397,12,29
Peter Welch,W000800,12,30
Jeanne Shaheen,S001181,12,31
Mariannette Miller-Meeks,M001215,12,32
Mike Carey,C001126,11,33
Roger F. Wicker,W000437,11,34
Joe Neguse,N000191,11,35
John R. Moolenaar,M001194,11,36
David P. Joyce,J000295,10,37
Marie Gluesenkamp Perez,G000600,10,38
Mike Kelly,K000376,10,39
John Thune,T000250,10,40
Ben R. Lujan,L000570,10,41
Josh Gottheimer,G000583,10,42
Gus M. Bilirakis,B001257,10,43
Edward J. Markey,M000133,9,44
Jefferson Van Drew,V000133,9,45
Joseph D. Morelle,M001206,9,46
John Barrasso,B001261,9,47
Lloyd Smucker,S001199,9,48
Byron Donalds,D000032,9,49
Jimmy Panetta,P000613,9,50
Juan Ciscomani,C001133,9,51
Todd Young,Y000064,9,52
Mike Crapo,C000880,9,53
Christopher H. Smith,S000522,9,54
Chrissy Houlahan,H001085,9,55
Ken Calvert,C000059,9,56
Don Bacon,B001298,9,57
Nick LaLota,L000598,9,58
Brian Schatz,S001194,8,59
Richard Blumenthal,B001277,8,60
Josh Harder,H001090,8,61
Joe Wilson,W000795,8,62
Mikie Sherrill,S001207,8,63
David Kustoff,K000392,8,64
James E. Risch,R000584,8,65
Jennifer A. Kiggans,K000399,8,66
Andrew R. Garbarino,G000597,8,67
Steve Daines,D000618,8,68
Jay Obernolte,O000019,8,69
