id,bill_id,note,date,classification,extras
b4e55134-d96a-4c29-8a65-b19c36b6fecd,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1261,,,{}
f1311d75-1403-411f-854c-bf7dde1573c6,ocd-bill/f2c770e7-2df6-4157-91fb-5a9142adc05e,"CBO: S. 283, Illegal Red Snapper and Tuna Enforcement Act",,,{}
1e0ec1a0-22a5-418a-ba01-c35a88ad0748,ocd-bill/e7266397-20ce-4af2-b110-377992892821,"CBO: H.R. 2255, Federal Law Enforcement Officer Service Weapon Purchase Act of 2025",,,{}
234fed24-d110-41dc-bc22-7e5170f3f68e,ocd-bill/61ce49cf-166e-4966-a51d-807ef8d8e863,"CBO: H.R. 1295, Reorganizing Government Act of 2025",,,{}
b178f95a-b10c-4c4a-946a-0d125a10e63a,ocd-bill/06bb5568-bb6a-4dc7-9654-a6f11bee0534,"CBO: H.R. 1382, a bill to amend the Federal Water Pollution Control Act with respect to San Francisco Bay restoration, and for other purposes",,,{}
cd200f07-019f-4ad1-8009-68c21e9cd1fc,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1265,,,{}
d2aaaf02-6ed8-45cc-9066-082e6c670d07,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1264,,,{}
e2dd147e-dd58-4c8b-bd71-f5ed2ff665c5,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1263,,,{}
dd4a1fe1-3d06-44e6-ac3a-598d6be5c0b0,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1262,,,{}
85d3db0b-7fac-42a8-ac42-26a966cd837e,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1260,,,{}
c6231c6d-953b-4538-8a99-592bdaefbf93,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1259,,,{}
b834829f-0775-489e-a325-5f2fd87c378d,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1258,,,{}
e797b5ec-e9b9-4dfd-b58a-72b1a7fae4b5,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1257,,,{}
6edfb087-12d7-46b8-9b08-8ea51b6e7f3d,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1256,,,{}
3a1a12a6-6bb0-4061-a77c-e849e12ccb1d,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1255,,,{}
30f70de7-353a-47a9-be94-0e541bb11aa3,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1254,,,{}
72f63948-e59f-4eb3-8728-0bcbed5f143b,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1253,,,{}
98911ed9-19a1-48a7-a864-7b49740d9a7d,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1252,,,{}
fa24271f-64e0-41a0-a143-d566522e2dc4,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1251,,,{}
34587454-ecf8-467a-aca8-4c1864aa13b9,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1248,,,{}
9a83ff38-f8bb-4df8-8e40-138b0c1f3512,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1250,,,{}
2941ea19-3c0b-4105-8049-152b1e3e2450,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1247,,,{}
d0a52a0b-582c-4039-85b7-5a924082fa70,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1249,,,{}
71c3f836-b4bb-4b62-bf7c-76662e3ea721,ocd-bill/8bb0acf4-005d-4b5e-ac3e-7611698fb9ce,"CBO: H.R. 2617, Say No to Indoctrination Act",,,{}
d828f441-0c5b-4c2f-873e-afa121b6e31e,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1245,,,{}
4b755b1a-0551-437a-a00d-000a12cc461f,ocd-bill/ca6e8c6e-7713-4d50-b393-b8eb7b2f0597,SAMDT 1244,,,{}
