id,bill_id,related_bill_id,identifier,legislative_session,relation_type
fb9f1ba6-ba68-4594-a254-0783050d6747,ocd-bill/ce66f9d7-e045-4cc2-8f43-96601b48e98e,ocd-bill/dde7d7ef-f293-4d65-8521-b9f5c2f29fb6,HR 931,119,companion
5e69b022-3130-478f-af51-bdf3a2d59721,ocd-bill/678ade09-8f65-461a-8bd6-2021514e6815,ocd-bill/e97f634b-119a-4866-aee6-ba22fac67e54,S 341,119,companion
681f08b8-4a9a-42db-90a9-fcca90dae512,ocd-bill/63ff4f6c-381a-4d41-a350-87f058f67431,ocd-bill/6b9554f7-e9be-414e-b764-29d81ff9e422,S 284,119,companion
d3bce67f-9435-4a25-9cb9-958cc07068a8,ocd-bill/3d9dd5d9-d0c9-4f35-80a0-a38f069e8a9d,ocd-bill/2bb73646-b40d-4d2f-9c21-b3315dcc0159,HR 569,119,companion
29bcb4fb-456c-43cd-be76-66f5e882f140,ocd-bill/7366e9b4-31a4-4d00-be42-0749bd7d2bd5,ocd-bill/efba880a-a1bd-4740-a0c0-9736222b1bd5,HR 915,119,companion
ba8c820d-7771-41ae-9307-2c6621713b81,ocd-bill/e6d4ab4a-260e-4a3f-b1b3-2f4313822bb6,ocd-bill/11aa0ba5-2bcd-4afe-bc0c-e94b7afd3584,HR 248,119,companion
3f41dac9-8831-4697-ae81-c3165ed996b6,ocd-bill/825db46c-9dc0-4261-94a5-c7bc0d62eace,ocd-bill/3e973bc8-9351-49e8-902a-39171c77bb79,S 83,119,companion
c93dd176-8103-4d00-ba5d-3da3e56f6c1f,ocd-bill/3e973bc8-9351-49e8-902a-39171c77bb79,ocd-bill/825db46c-9dc0-4261-94a5-c7bc0d62eace,HR 378,119,companion
49123833-6093-4749-92ce-4a01485a6bdb,ocd-bill/618589a9-7692-48bb-abc4-0b44740db1c2,ocd-bill/dfff2503-0228-4728-9c79-14f34c01ae21,HR 425,119,companion
a9a08ce3-da0e-402f-9ba5-64f1e9bba9b3,ocd-bill/11aa0ba5-2bcd-4afe-bc0c-e94b7afd3584,ocd-bill/e6d4ab4a-260e-4a3f-b1b3-2f4313822bb6,S 71,119,companion
188ea0b3-e545-4243-b3c1-4ee58bb39536,ocd-bill/dfff2503-0228-4728-9c79-14f34c01ae21,ocd-bill/618589a9-7692-48bb-abc4-0b44740db1c2,S 100,119,companion
f137eae7-35f3-4795-bec4-636e458a94ce,ocd-bill/6b9554f7-e9be-414e-b764-29d81ff9e422,ocd-bill/63ff4f6c-381a-4d41-a350-87f058f67431,HR 860,119,companion
b56b5289-9315-456c-ad98-784ac212e588,ocd-bill/220f2db9-ef71-45f1-88db-67bc66669867,ocd-bill/470c8713-cff5-4fda-8c5c-2d377e5a704b,S 299,119,companion
fdc2d0a2-7474-4a19-884f-c89b41cc217e,ocd-bill/0bfe7f0e-af53-48b4-be96-1327be726bcc,ocd-bill/8c3a0c3b-3dab-4a81-b851-f61b9a68b0ee,HR 814,119,companion
d9042fe2-0557-49bb-9965-4ae0063f165b,ocd-bill/17c98a8d-0498-405b-bb30-964443ec6402,ocd-bill/8ee275bf-43cb-4c3a-a7d0-f6b97c5e0630,S 266,119,companion
