id,bill_id,title,note
21d58849-a320-4956-ba85-f890b46c2ec6,ocd-bill/b9c8d438-9f1b-4ddb-8564-8e131dfecf03,Guaranteeing Reliability through the Interconnection of Dispatchable Power Act,
44e5a451-7c92-4de9-a86c-5805c989afd2,ocd-bill/41b1cfd0-ba95-4ee9-ab0e-97eae851f4a6,To establish consumer standards for lithium-ion batteries.,
71f9db34-76b1-49d1-b632-d21d2eebe108,ocd-bill/25235025-f60f-42be-828c-b4b9030c4408,"A bill to require the Secretary of Health and Human Services, acting through the Commissioner of Food and Drugs, to publish a final rule relating to nonclinical testing methods.",
224c6bf9-5359-4d4e-bd00-283171ed02f0,ocd-bill/7039ff0f-0899-415f-8d98-acb392829558,"A bill to amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act with respect to the implementation of building codes, and for other purposes.",
1d107e29-e830-4ac4-871a-51781a7389dd,ocd-bill/8c52ecd9-7f9e-4d18-b4ce-5fab70d472ea,To amend the Controlled Substances Act to list fentanyl-related substances as schedule I controlled substances.,
b27c48dd-580b-471c-a983-ee6a5e788167,ocd-bill/874f7830-39b3-4df4-967d-37d555fe29b5,Advancing Digital Support for Mental Health Services Act,
cd7091f4-833a-422e-8e68-a1dcbf278a01,ocd-bill/5fe54827-257e-4e07-bda8-631444eef563,"A bill to amend section 1507 of title 18, United States Code, to establish appropriate penalties for obstruction of justice by picketing or parading in or near court buildings or residences of judges, jurors, witnesses, or other court officers.",
a8e74e63-6f2a-42f4-a50f-08c6aa63f32c,ocd-bill/0d08a8db-0b7f-48c3-a932-a724b078f6da,"A bill to amend title 5, United States Code, to address records maintained on individuals, and for other purposes.",
2710f920-7c20-4f55-b5e7-355f0735a6b9,ocd-bill/0d56a377-592f-48e4-8942-7f9abfd1e1ae,A bill to extend Federal Pell Grant eligibility of certain short-term programs.,
8d5025de-691f-4278-afb2-69cec0e17537,ocd-bill/0d56a377-592f-48e4-8942-7f9abfd1e1ae,Jumpstart Our Businesses by Supporting Students Act of 2025,
7bfada45-9e8d-438e-be53-339f9ac618ce,ocd-bill/559f0d47-17a5-4a48-9197-25dfaffcb95f,"A bill to amend the National Environmental Policy Act of 1969 to require the Council on Environmental Quality to publish an annual report on environmental reviews and causes of action based on alleged non-compliance with that Act, and for other purposes.",
808887b5-e0c8-47e3-80d2-20ce72ec88a2,ocd-bill/9dd8c5ed-ec7f-4faa-b6c3-58feb048df38,"A bill to require the Administrator of the Small Business Administration to ensure that the small business regulatory budget for a small business concern in a fiscal year is not great than 0, and for other purposes.",
b69dffcd-f569-44ee-aa22-559ea317fb3d,ocd-bill/85e0f22a-b2d9-48c9-8455-29cc63e325d2,"A bill to provide for notification to, and review by, Congress with respect to the imposition of duties.",
e37be14d-2760-4dc5-a4d4-1fd675151a9e,ocd-bill/8bcdd768-b5ec-4661-b9a0-dfd142b4e0e0,"A bill to establish the Office of Security Training and Counterintelligence in the Executive Office of the President, and for other purposes.",
