created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2025-01-28 05:45:38.306819+00:00,2025-03-21 20:46:54.578225+00:00,{},ocd-organization/073e1b59-923c-4046-9760-e7618029f604,Foreign Affairs Committee Western Hemisphere,ocd-organization/6f645bd7-0332-5edc-82c0-6da644369bfa,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://foreignaffairs.house.gov/subcommittee/western-hemisphere', 'note': ''}]","[{'url': 'https://foreignaffairs.house.gov/subcommittee/western-hemisphere', 'note': ''}]","[{'name': 'House Foreign Affairs Committee Western Hemisphere', 'end_date': '', 'start_date': ''}, {'name': 'House Foreign Affairs Committee Western Hemisphere Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Foreign Affairs Committee Western Hemisphere', 'end_date': '', 'start_date': ''}]"
2021-07-19 16:53:42.145024+00:00,2025-03-21 20:47:00.017721+00:00,"{'type': 'house', 'phone': '(202) 225-2761', 'address': '1324A LHOB; Washington, DC 20515-6201'}",ocd-organization/128a55da-60bb-5571-8bd5-dfc312ef37a9,Natural Resources,ocd-organization/24af4233-d9b5-5933-91b2-51d29f721037,ocd-jurisdiction/country:us/government,committee,"[{'url': 'https://naturalresources.house.gov', 'note': ''}, {'url': 'https://republicans-naturalresources.house.gov', 'note': ''}, {'url': 'https://unitedstates.github.io/', 'note': ''}]","[{'url': 'https://naturalresources.house.gov', 'note': ''}, {'url': 'https://naturalresources.house.gov/', 'note': 'homepage'}, {'url': 'https://republicans-naturalresources.house.gov', 'note': ''}, {'url': 'https://republicans-naturalresources.house.gov/', 'note': 'homepage'}]","[{'name': 'House Committee on Natural Resources', 'end_date': '', 'start_date': ''}, {'name': 'House Natural Resources', 'end_date': '', 'start_date': ''}, {'name': 'House Natural Resources Committee', 'end_date': '', 'start_date': ''}]"
2023-05-15 18:02:44.045901+00:00,2025-03-21 20:47:07.356520+00:00,"{'type': 'house', 'phone': '(202) 225-4121', 'address': 'HVC304 CAPITOL; Washington, DC 20515'}",ocd-organization/644ca76e-78da-5bf9-a780-69e786d7b78c,Permanent Select Committee on Intelligence Defense Intelligence and Overhead Architecture,ocd-organization/113271fd-136d-5783-88ed-1f32a955b3ec,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://intelligence.house.gov/subcommittees/defense-intelligence-and-overhead-architecture-subcommittee.htm', 'note': ''}, {'url': 'https://theunitedstates.io', 'note': ''}, {'url': 'https://unitedstates.github.io/', 'note': ''}]","[{'url': 'https://intelligence.house.gov/subcommittees/defense-intelligence-and-overhead-architecture-subcommittee.htm', 'note': ''}, {'url': 'https://theunitedstates.io', 'note': ''}, {'url': 'https://unitedstates.github.io', 'note': ''}]","[{'name': 'Defense Intelligence and Overhead Architecture', 'end_date': '', 'start_date': ''}, {'name': 'House Permanent Select Committee on Intelligence Defense Intelligence and Overhead Architecture', 'end_date': '', 'start_date': ''}, {'name': 'House Permanent Select Committee on Intelligence Defense Intelligence and Overhead Architecture Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Permanent Select Committee on Intelligence Defense Intelligence and Overhead Architecture', 'end_date': '', 'start_date': ''}]"
2021-08-16 22:28:03.739325+00:00,2025-03-21 20:47:07.755879+00:00,"{'type': 'house', 'phone': '(202) 225-4121', 'address': 'HVC304 CAPITOL; Washington, DC 20515'}",ocd-organization/83ab36b0-46da-524c-a73f-69b9c2f65f4d,Permanent Select Committee on Intelligence National Intelligence Enterprise,ocd-organization/113271fd-136d-5783-88ed-1f32a955b3ec,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://intelligence.house.gov/subcommittees/national-intelligence-enterprise-subcommittee.htm', 'note': ''}, {'url': 'https://theunitedstates.io', 'note': ''}, {'url': 'https://unitedstates.github.io/', 'note': ''}]","[{'url': 'https://intelligence.house.gov/subcommittees/national-intelligence-enterprise-subcommittee.htm', 'note': ''}, {'url': 'https://theunitedstates.io', 'note': ''}, {'url': 'https://unitedstates.github.io', 'note': ''}]","[{'name': 'House Permanent Select Committee on Intelligence National Intelligence Enterprise', 'end_date': '', 'start_date': ''}, {'name': 'House Permanent Select Committee on Intelligence National Intelligence Enterprise Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Permanent Select Committee on Intelligence National Intelligence Enterprise', 'end_date': '', 'start_date': ''}, {'name': 'National Intelligence Enterprise', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:58.401213+00:00,2025-03-21 20:47:08.440596+00:00,{},ocd-organization/b915b4d2-9d95-4cc9-ac3b-7d76b2198e2b,"Science, Space and Technology Committee Environment",ocd-organization/3784e5c7-f164-569f-b164-2accdc099783,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://science.house.gov/subcommittee-environment', 'note': ''}]","[{'url': 'https://science.house.gov/subcommittee-environment', 'note': ''}]","[{'name': 'House Science, Space and Technology Committee Environment', 'end_date': '', 'start_date': ''}, {'name': 'House Science, Space and Technology Committee Environment Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Science, Space and Technology Committee Environment', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:45.402820+00:00,2025-03-21 20:47:13.090379+00:00,{},ocd-organization/1bbb624c-9ed4-4523-ae31-11e0ada7db08,Natural Resources Committee Federal Lands,ocd-organization/128a55da-60bb-5571-8bd5-dfc312ef37a9,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://naturalresources.house.gov/issues/issue/?IssueID=5063', 'note': ''}]","[{'url': 'https://naturalresources.house.gov/issues/issue/?IssueID=5063', 'note': ''}]","[{'name': 'House Natural Resources Committee Federal Lands', 'end_date': '', 'start_date': ''}, {'name': 'House Natural Resources Committee Federal Lands Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Natural Resources Committee Federal Lands', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:41.297323+00:00,2025-03-21 20:47:14.244514+00:00,{},ocd-organization/f00f4775-0435-4e14-8544-d2784e3b018f,"Education and the Workforce Committee Early Childhood, Elementary and Secondary Education",ocd-organization/bcc3f01c-98f0-587d-9730-ff20d286f993,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://edworkforce.house.gov/issues/issue/?IssueID=43419', 'note': ''}]","[{'url': 'https://edworkforce.house.gov/issues/issue/?IssueID=43419', 'note': ''}]","[{'name': 'House Education and the Workforce Committee Early Childhood, Elementary and Secondary Education', 'end_date': '', 'start_date': ''}, {'name': 'House Education and the Workforce Committee Early Childhood, Elementary and Secondary Education Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Education and the Workforce Committee Early Childhood, Elementary and Secondary Education', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:59.989873+00:00,2025-03-21 20:47:14.685375+00:00,{},ocd-organization/0839eb7f-f492-476f-9343-7997eb15f390,"Health, Education, Labor and Pensions Committee Education and the American Family",ocd-organization/311e8265-0627-51b0-89f2-ff5fa3304e62,ocd-jurisdiction/country:us/government,subcommittee,[],[],"[{'name': 'Health, Education, Labor and Pensions Committee Children and Families', 'end_date': '', 'start_date': ''}, {'name': 'Senate Health, Education, Labor and Pensions Committee Children and Families', 'end_date': '', 'start_date': ''}, {'name': 'Senate Health, Education, Labor and Pensions Committee Children and Families Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'Senate Health, Education, Labor and Pensions Committee Education and the American Family', 'end_date': '', 'start_date': ''}, {'name': 'Senate Health, Education, Labor and Pensions Committee Education and the American Family Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'Senate Subcommittee on Health, Education, Labor and Pensions Committee Children and Families', 'end_date': '', 'start_date': ''}, {'name': 'Senate Subcommittee on Health, Education, Labor and Pensions Committee Education and the American Family', 'end_date': '', 'start_date': ''}]"
2025-01-30 02:06:55.222108+00:00,2025-04-05 02:47:10.420567+00:00,{},ocd-organization/a58bec30-16d1-4d6f-a8c3-578fabde5496,Appropriations Committee Defense,ocd-organization/e97797e3-ac17-54b4-9e82-7dfd666af6d9,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://appropriations.house.gov/subcommittees/defense-0', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/defense-118th-congress', 'note': ''}]","[{'url': 'https://appropriations.house.gov/subcommittees/defense-0', 'note': ''}, {'url': 'https://appropriations.house.gov/subcommittees/defense-118th-congress', 'note': ''}]","[{'name': 'House Appropriations Committee Defense', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations Committee Defense Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Appropriations Committee Defense', 'end_date': '', 'start_date': ''}]"
2025-01-28 05:45:48.770995+00:00,2025-03-29 03:02:05.775976+00:00,{},ocd-organization/d713d9a7-27a5-499a-9e9e-d7d238f6e23d,"Financial Services Committee Monetary Policy, Treasury Market Resilience and Economic Prosperity Task Force",ocd-organization/f445a449-ae0d-5208-862c-2158070ecdb7,ocd-jurisdiction/country:us/government,subcommittee,"[{'url': 'https://financialservices.house.gov/119th-congress-subcommittees/task-force-on-monetary-policy-treasury-market-resilience-and-economic-prosperity.htm', 'note': ''}]","[{'url': 'https://financialservices.house.gov/119th-congress-subcommittees/task-force-on-monetary-policy-treasury-market-resilience-and-economic-prosperity.htm', 'note': ''}]","[{'name': 'House Committee on Financial Services Committee Monetary Policy, Treasury Market Resilience and Economic Prosperity Task Force', 'end_date': '', 'start_date': ''}, {'name': 'House Financial Services Committee Monetary Policy, Treasury Market Resilience and Economic Prosperity Task Force', 'end_date': '', 'start_date': ''}, {'name': 'House Financial Services Committee Monetary Policy, Treasury Market Resilience and Economic Prosperity Task Force Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Financial Services Committee Monetary Policy, Treasury Market Resilience and Economic Prosperity Task Force Subcommittee', 'end_date': '', 'start_date': ''}, {'name': 'House Subcommittee on Financial Services Committee Monetary Policy, Treasury Market Resilience and Economic Prosperity Task Force', 'end_date': '', 'start_date': ''}]"
